"Name","activation_function","batch_size","epochs","learning_rate","num_neurons","optimizer","Train_cost","Train_mse","Train_r2","Train_rmse","Validation_cost","Validation_mse","Validation_r2","Validation_rmse","mse","r2","rmse"
"run-70","relu","256","100","0.1","[32,64,32]","batch-gd","0.026461205749766837","0.026461205749766837","0.3851437188130157","0.16266900672767026","0.029749718183344376","0.029749718183344376","0.11754232509946394","0.17248106615899722","0.029749718183344376","0.11754232509946394","0.17248106615899722"
"run-27","relu","16","100","0.1","[32]","sgd","0.03495295271350534","0.03495295271350534","0.18782829757786937","0.186957087893199","0.02977016641329749","0.02977016641329749","0.11693577490127216","0.17254033271469454","0.02977016641329749","0.11693577490127216","0.17254033271469454"
"run-49","relu","256","10","0.1","[32,64]","batch-gd","0.02851801687643861","0.02851801687643861","0.33735136753436856","0.16887278311332057","0.029871918842634057","0.029871918842634057","0.11391752068943573","0.17283494682104675","0.029871918842634057","0.11391752068943573","0.17283494682104675"
"run-172","tanh","16","100","0.1","[32]","batch-gd","0.02173601409453047","0.02173601409453047","0.4949389336081693","0.1474313877521692","0.03007227946347501","0.03007227946347501","0.10797427892427768","0.17341360806890274","0.03007227946347501","0.10797427892427768","0.17341360806890274"
"run-82","sigmoid","16","10","0.1","[32]","batch-gd","0.03787025897053722","0.03787025897053722","0.1200413609868206","0.1946028236448208","0.030118278176313417","0.030118278176313417","0.10660983180818616","0.17354618456282295","0.030118278176313417","0.10660983180818616","0.17354618456282295"
"run-8","relu","16","10","0.01","[32,64,32]","minibatch-gd","0.03274053547464916","0.03274053547464916","0.2392363342630106","0.1809434593309445","0.03014647196340918","0.03014647196340918","0.10577352728745626","0.1736273940465881","0.03014647196340918","0.10577352728745626","0.1736273940465881"
"run-202","tanh","256","100","0.01","[32,64]","batch-gd","0.026854335004909444","0.026854335004909444","0.3760089124051512","0.16387292334278242","0.0301860908268324","0.0301860908268324","0.10459832388273194","0.17374144821208437","0.0301860908268324","0.10459832388273194","0.17374144821208437"
"run-108","sigmoid","256","10","0.01","[32]","sgd","0.023445301859277408","0.023445301859277408","0.4552216838180695","0.15311858756949598","0.030581258099940663","0.030581258099940663","0.0928765861884524","0.1748749784844609","0.030581258099940663","0.0928765861884524","0.1748749784844609"
"run-62","relu","256","100","0.01","[32,64,32]","minibatch-gd","0.036577394950820824","0.036577394950820824","0.15008253034095265","0.19125217632963248","0.031026298775839935","0.031026298775839935","0.07967546752003718","0.17614283628873453","0.031026298775839935","0.07967546752003718","0.17614283628873453"
"run-77","sigmoid","16","10","0.01","[32,64]","minibatch-gd","0.042904473316929904","0.042904473316929904","0.0030656516789238086","0.20713395017941869","0.032659151919003974","0.032659151919003974","0.031240595657039735","0.18071843270403817","0.032659151919003974","0.031240595657039735","0.18071843270403817"
"run-152","tanh","16","10","0.01","[32,64,32]","minibatch-gd","0.032622781423388994","0.032622781423388994","0.24197248388284287","0.1806177771521646","0.03287892303960422","0.03287892303960422","0.02472158559785365","0.18132546164177887","0.03287892303960422","0.02472158559785365","0.18132546164177887"
"run-100","sigmoid","16","100","0.1","[32]","batch-gd","0.03975321080754667","0.03975321080754667","0.07628882850186247","0.1993820724326705","0.033087065731881776","0.033087065731881776","0.01854750639673952","0.18189850392975135","0.033087065731881776","0.01854750639673952","0.18189850392975135"
"run-105","sigmoid","16","100","0.1","[32,64,32]","sgd","0.039189599131229255","0.039189599131229255","0.08938498831450226","0.19796363082957752","0.0334595541059765","0.0334595541059765","0.00749848662097774","0.18291952904481387","0.0334595541059765","0.00749848662097774","0.18291952904481387"
"run-101","sigmoid","16","100","0.1","[32]","minibatch-gd","0.031867751461492407","0.031867751461492407","0.2595164657764336","0.1785154095911398","0.033549858012078895","0.033549858012078895","0.004819826792254789","0.18316620324743016","0.033549858012078895","0.004819826792254789","0.18316620324743016"
