,words,PC1,PC2,PC3,PC4,PC5
123,spiderman,0.48827774462732804,0.3685274557181821,1.72178725445775,-0.5141242578669851,-0.11018930313829167
124,bee,1.7615586299268806,-2.3378585875488285,0.7608669347662091,0.42956068598314473,-0.12410957651833099
125,burn,-2.922908259897283,0.044927320220048965,-0.004070473754187248,0.44306801732364465,-0.5972369345329819
126,pillow,0.9031208476998032,0.524942702473671,-1.3311689406592602,-0.3321711491011939,-0.5316018506385259
127,fire,-2.827340229777147,-0.15819233541631716,0.4598501236304077,0.09588609012117721,-0.0753989398260479
128,close,-2.659171326889773,-0.10441509524828507,0.18057157017618705,0.4890505764390727,-0.6742766542509341
129,angry,-1.5102748026859436,-0.3009316323503142,0.5836222074146821,-0.0019830448439800007,-0.10872215539323649
130,lazy,-1.9155575615229272,-0.05188834145925738,0.437523761557522,-0.28258778670780194,-0.08408566452822713
131,scary,-3.2446552702563807,-0.24890303643537723,0.2858894270165299,0.5261136224708592,-0.6269939614703378
132,tree,1.0514074126994128,-0.2148331122454086,0.3956251217415928,-0.8292684490767857,-0.4568373739106931
